1383	3	580
64	5	54
6797	153	612
6798	16	2
4651	3	2998
8167	6	163
1729	30	3963
8968	6	5
128	4	50
8969	24	0
3435	48	34
6799	14	60
1577	0	2330
1952	0	2085
3964	87	842
7464	82	4652
208	18	2331
873	0	904
5592	0	3686
1433	26	429
3965	42	874
3436	32	1143
5074	31	5075
23	11	173
2657	39	131
4289	47	316
2999	24	0
8970	37	1144
8168	10	212
2658	10	1224
33	5	726
1840	3	964
8169	11	7
1496	27	13
4290	23	82
5076	47	106
327	5	115
10650	58	9797
1497	32	518
651	16	2
6800	11	7
3000	0	3437
2194	0	1577
2805	46	1498
3204	62	30
2332	33	6134
8971	55	253
7465	29	39
5077	12	6135
1730	123	4653
1145	3	965
3001	30	1
7466	82	1842
4654	9	1434
8170	4	9798
9799	17	45
6801	92	8972
5078	4	6136
1107	1	25
8171	25	185
1435	9	2659
366	0	317
10651	89	13152
940	3	1184
905	7	793
6137	180	5079
7467	11	8
8172	9	875
2492	3	355
3438	42	704
3002	33	1499
2086	33	6134
595	9	519
308	18	1843
282	26	408
70	5	72
3967	0	6138
4291	29	37
13153	1	3
3968	8	3003
6139	66	5082
389	0	380
14	5	191
3969	3	580
652	14	409
7468	24	0
475	4	5083
8173	37	2195
5084	15	12
47	5	1225
2493	37	1144
11486	1	14
13154	150	2660
458	18	1844
2333	31	2494
6802	163	997
4292	0	3004
3970	0	2806
8174	15	15
410	4	632
159	9	1650
11487	8	8175
2334	11	7
12296	70	966
5593	29	2662
2807	1	94
9800	11	8
2087	3	1953
6803	10	4655
5594	1	27
6140	55	447
8176	112	3439
5085	10	764
390	3	705
10652	14	60
8973	11	7
48	14	83
1845	7	2196
4656	20	2495
683	14	632
3005	12	4293
8177	81	2808
4294	43	4295
1500	9	204
3205	16	2
1501	3	2335
1226	26	684
8974	1	49
5086	24	0
1185	3	581
1186	40	356
1502	4	2197
967	17	1
2809	131	998
2810	0	1731
1578	40	2088
242	5	327
3971	72	11488
3206	84	1227
11	19	5087
2663	7	2336
4296	21	528
9801	4	7469
381	11	382
13155	1	115
8178	30	1
2664	13	1108
1732	20	8179
13156	1	0
3006	18	1733
2089	19	1061
3972	25	110
6804	12	2811
4657	15	399
6141	85	2812
12297	21	13157
8180	4	4297
2337	44	55
1734	36	1187
10653	10	127
42	71	843
6142	12	968
8181	17	231
3687	35	232
3688	20	2665
1436	8	152
3973	20	2198
8975	54	227
5595	48	34
844	29	81
13158	4	8976
8977	1	14
685	5	740
4298	48	633
1384	8	266
6143	15	58
13159	11	2090
1326	0	1437
821	44	1
5088	17	1
2091	25	411
13160	30	31
5596	93	12298
421	8	7470
6805	27	1503
2813	14	6144
2666	33	383
1146	3	876
8182	41	9802
9803	15	12
2496	0	2814
6799	115	11489
6145	12	8978
401	9	1735
1846	20	2194
23	5	120
12299	68	152
845	27	309
3007	106	5598
7471	46	112
6146	16	18
341	97	8183
2815	0	3974
5081	11	7
476	27	13
2667	26	2338
3207	8	1385
6806	24	14
7472	21	145
1504	28	1847
2668	85	2669
11490	19	8979
1027	1	1027
5599	16	2
267	0	318
765	0	706
7473	27	13
2497	3	1848
38	4	3975
1228	22	1954
9804	13	46
519	3	182
367	77	1109
12300	17	1
1849	37	547
5600	98	9805
50	4	44
13161	1	0
634	10	2670
3689	82	613
2339	11	8
1	113	10
5089	0	4658
8184	24	0
596	8	766
6807	27	26
4659	56	22
391	3	174
2498	53	969
8980	142	822
368	4	85
291	18	3208
941	10	970
1277	7	653
3976	33	6147
11491	106	11492
11493	4	6808
6809	28	6810
9806	12	10654
8185	12	8981
741	0	654
9807	54	227
291	3	1028
7475	24	5
1438	137	141
3440	71	4660
8186	17	6
1955	68	243
12301	30	1
1579	7	2201
5601	19	1736
2671	27	13
685	5	120
2816	16	2
3977	13	1278
6148	35	55
6149	46	260
4661	6	9
1651	20	1580
458	18	7476
4299	12	1029
164	9	1581
597	8	2672
5602	46	10655
7477	1	244
7478	20	10656
2499	34	106
402	0	342
1737	3	794
582	157	2202
3441	4	6811
10657	51	1956
9809	6	69
6150	0	5090
12302	13	9810
767	66	5603
4292	6	5
6812	42	13938
1850	1	14
459	145	500
2673	56	22
119	59	113
224	26	422
2500	9	319
5092	15	15
1738	6	0
4663	7	1851
4300	23	201
1852	129	1853
9812	16	18
8187	13	51
242	4	254
5093	72	13939
8188	95	4301
8980	142	5094
2817	3	1110
548	14	95
8982	126	583
520	7	392
707	22	1582
2340	30	1
965	22	1844
3690	20	2818
1505	31	877
8189	17	1
3978	6	28
381	19	6151
283	28	401
194	18	3442
707	22	2819
